League;Season;Player;Team;GP;MIN;3PM;3PA;FTM;FTA;TOV;REB;AST;STL;BLK;PTS
NBA;2019 - 2020;Doug McDermott;IND;69;1372.3;128;294;48;58;42;174;78;12;5;710
NBA;2019 - 2020;Joe Ingles;UTA;72;2136.6;141;353;74;94;142;278;373;65;11;707
NBA;2019 - 2020;Bryn Forbes;SAS;63;1579.3;148;381;75;90;57;126;108;33;0;707
NBA;2019 - 2020;Dario Saric;PHX;66;1631.8;84;235;108;128;88;406;123;37;16;704
NBA;2019 - 2020;Furkan Korkmaz;PHI;72;1558.9;143;356;77;102;59;168;79;41;16;704
NBA;2019 - 2020;Brandon Clarke;MEM;58;1300.0;23;64;85;112;55;345;81;32;48;700
NBA;2019 - 2020;Steven Adams;OKC;63;1680.5;1;3;117;201;94;583;146;51;67;684
NBA;2019 - 2020;Tristan Thompson;CLE;57;1721.5;9;23;99;161;103;577;120;33;50;684
NBA;2019 - 2020;Jae Crowder;MIA;65;1874.8;135;394;97;125;69;384;161;72;24;684
NBA;2019 - 2020;Kevin Huerter;ATL;56;1760.3;127;334;53;64;87;228;214;51;27;684
NBA;2019 - 2020;Dorian Finney-Smith;DAL;71;2119.8;114;303;78;108;69;405;114;45;39;678
NBA;2019 - 2020;Langston Galloway;DET;66;1702.2;132;331;73;85;40;149;101;48;11;677
NBA;2019 - 2020;Mike Conley;UTA;47;1363.3;96;256;115;139;92;151;208;36;5;675
NBA;2019 - 2020;Maxi Kleber;DAL;74;1889.7;119;319;79;93;58;388;88;25;83;672
NBA;2019 - 2020;Bobby Portis;NYK;66;1393.4;67;187;71;93;73;338;98;32;18;668
NBA;2019 - 2020;Mikal Bridges;PHX;73;2042.1;70;194;103;122;73;292;129;102;46;667
NBA;2019 - 2020;Danuel House;HOU;63;1912.7;129;355;73;90;54;267;85;67;34;662
NBA;2019 - 2020;Monte Morris;DEN;73;1636.5;65;172;75;89;53;137;255;55;17;660
NBA;2019 - 2020;Thaddeus Young;CHI;64;1590.7;79;222;42;72;102;315;117;92;23;659
NBA;2019 - 2020;Josh Hart;NOP;65;1755.2;121;354;85;115;75;425;108;63;23;656
NBA;2019 - 2020;Kentavious Caldwell-Pope;LAL;69;1761.8;92;239;79;102;62;142;111;57;14;645
NBA;2019 - 2020;Tomas Satoransky;CHI;65;1877.9;64;199;106;121;130;254;354;80;7;644
NBA;2019 - 2020;Cody Zeller;CHA;58;1340.7;18;75;122;179;75;411;88;40;25;642
NBA;2019 - 2020;Jeff Teague;ATL;59;1464.3;43;117;172;197;116;142;308;44;19;641
NBA;2019 - 2020;Garrett Temple;BRK;62;1729.7;127;386;70;87;62;218;156;49;29;641
NBA;2019 - 2020;Aaron Holiday;IND;66;1617.3;87;221;74;87;88;156;225;55;16;627
NBA;2019 - 2020;Damion Lee;GSW;49;1422.5;85;239;110;126;67;239;133;50;6;621
NBA;2019 - 2020;Malik Beasley;MIN;55;1208.6;107;276;54;66;57;148;75;40;8;615
NBA;2019 - 2020;Donte DiVincenzo;MIL;66;1520.4;83;247;63;86;90;318;154;85;20;610
NBA;2019 - 2020;Cam Reddish;ATL;58;1550.7;83;250;101;126;96;216;87;62;28;610
NBA;2019 - 2020;Justin Holiday;IND;73;1825.6;134;331;53;67;44;238;93;87;46;603
NBA;2019 - 2020;Daniel Theis;BOS;65;1566.0;32;96;87;114;54;426;111;37;84;601
NBA;2019 - 2020;D.J. Augustin;ORL;57;1420.4;70;201;161;181;86;122;262;34;1;599
NBA;2019 - 2020;Kent Bazemore;SAC;68;1687.6;84;244;113;147;91;294;93;74;40;597
NBA;2019 - 2020;Ivica Zubac;LAC;72;1326.1;0;2;124;166;61;544;82;16;66;596
NBA;2019 - 2020;Austin Rivers;HOU;68;1593.9;96;270;78;111;50;175;113;49;10;596
NBA;2019 - 2020;Paul Millsap;DEN;51;1240.0;54;124;115;141;70;293;83;44;30;591
NBA;2019 - 2020;Mitchell Robinson;NYK;61;1412.5;0;0;84;148;37;428;36;52;119;590
NBA;2019 - 2020;Gary Harris;DEN;56;1780.2;70;210;75;92;60;163;118;76;14;581
NBA;2019 - 2020;Jarrett Culver;MIN;63;1505.5;66;221;54;117;81;212;110;57;38;580
NBA;2019 - 2020;Anfernee Simons;POR;70;1448.7;75;226;76;92;61;152;97;26;10;579
NBA;2019 - 2020;Shabazz Napier;WAS;56;1344.5;76;240;126;153;128;158;262;69;11;578
NBA;2019 - 2020;Jeremy Lamb;IND;46;1291.2;53;158;92;110;50;200;96;55;22;577
NBA;2019 - 2020;Larry Nance, Jr.;CLE;56;1472.1;56;159;50;74;60;409;123;56;22;564
NBA;2019 - 2020;Malik Monk;CHA;55;1169.1;58;204;82;100;77;157;114;25;16;564
NBA;2019 - 2020;Markieff Morris;LAL;58;1187.5;88;228;66;85;76;218;77;31;17;560
NBA;2019 - 2020;George Hill;MIL;59;1271.3;81;176;85;101;57;177;180;47;5;554
NBA;2019 - 2020;Kelly Olynyk;MIA;67;1300.4;95;234;86;100;71;305;116;45;23;549
NBA;2019 - 2020;Marquese Chriss;GSW;59;1196.2;8;39;120;156;78;365;114;39;62;548
NBA;2019 - 2020;Danny Green;LAL;68;1686.7;120;327;33;48;63;225;91;85;32;547
NBA;2019 - 2020;Clint Capela;HOU;39;1279.3;0;0;55;104;63;537;48;33;72;543
NBA;2019 - 2020;Terence Davis;TOR;72;1209.2;94;242;51;59;76;237;115;39;14;543
NBA;2019 - 2020;Gary Trent, Jr.;POR;61;1331.9;112;268;37;45;21;100;61;48;16;541
NBA;2019 - 2020;Josh Okogie;MIN;62;1547.3;41;154;152;191;87;268;99;68;26;533
NBA;2019 - 2020;Dwight Howard;LAL;69;1305.7;3;5;110;214;84;507;45;31;79;517
NBA;2019 - 2020;Bruce Brown, Jr.;DET;58;1634.0;33;96;88;119;100;274;230;63;29;517
NBA;2019 - 2020;Michael Porter, Jr.;DEN;55;903.2;62;147;60;72;49;259;46;27;25;512
NBA;2019 - 2020;Delon Wright;DAL;73;1569.8;47;127;77;100;73;280;244;84;23;504
NBA;2019 - 2020;Cameron Johnson;PHX;57;1255.3;106;272;46;57;32;187;69;36;20;504
NBA;2019 - 2020;Svi Mykhailiuk;DET;56;1265.0;115;285;57;70;61;104;106;41;4;504
NBA;2019 - 2020;Jordan Poole;GSW;57;1273.9;74;265;95;119;74;118;134;35;10;503
NBA;2019 - 2020;P.J. Tucker;HOU;72;2467.2;107;299;39;48;72;476;115;77;36;500
NBA;2019 - 2020;Derrick Jones;MIA;59;1375.0;37;132;95;123;30;233;62;58;38;500
NBA;2019 - 2020;Kevin Porter, Jr.;CLE;50;1161.8;53;158;73;101;93;162;109;46;14;498
NBA;2019 - 2020;Wesley Matthews;MIL;67;1634.8;108;297;52;68;43;166;92;38;9;494
NBA;2019 - 2020;Landry Shamet;LAC;53;1452.0;111;296;65;76;42;100;99;20;10;492
NBA;2019 - 2020;Isaiah Thomas;WAS;40;924.8;78;189;62;76;77;68;146;13;6;488
NBA;2019 - 2020;Brad Wanamaker;BOS;71;1369.1;37;102;126;136;76;144;179;61;14;487
NBA;2019 - 2020;Tyus Jones;MEM;65;1232.0;47;124;43;58;55;103;285;59;6;484
NBA;2019 - 2020;Tony Snell;DET;59;1641.1;102;254;32;32;31;111;127;32;15;474
NBA;2019 - 2020;Jaxson Hayes;NOP;64;1079.7;1;4;123;190;53;260;56;26;55;472
NBA;2019 - 2020;Enes Kanter;BOS;58;983.5;1;7;70;99;56;431;56;22;41;469
NBA;2019 - 2020;Jalen Brunson;DAL;57;1022.0;43;120;61;75;66;134;188;22;4;466
NBA;2019 - 2020;E'Twaun Moore;NOP;56;1019.9;63;167;31;45;40;131;78;32;11;466
NBA;2019 - 2020;DeAndre Jordan;BRK;56;1234.2;0;0;83;122;74;561;105;18;52;465
NBA;2019 - 2020;T.J. McConnell;IND;71;1326.0;5;17;35;42;100;189;355;56;11;464
NBA;2019 - 2020;Gorgui Dieng;MEM;63;1096.5;54;152;78;101;60;354;73;51;59;464
NBA;2019 - 2020;Derrick Favors;NOP;51;1242.5;1;7;40;71;55;501;81;30;46;459
NBA;2019 - 2020;Cory Joseph;SAC;72;1759.5;56;159;60;70;80;188;251;53;21;458
NBA;2019 - 2020;De'Anthony Melton;MEM;60;1167.3;40;140;93;121;84;220;175;77;20;455
NBA;2019 - 2020;James Ennis;ORL;69;1265.8;55;169;79;98;58;245;63;35;22;454
NBA;2019 - 2020;Jeff Green;HOU;48;960.1;62;183;73;91;42;133;50;26;19;453
NBA;2019 - 2020;Royce O'Neale;UTA;71;2049.5;92;244;42;55;61;389;180;59;32;450
NBA;2019 - 2020;Nerlens Noel;OKC;61;1127.0;1;3;80;106;66;300;57;59;91;449
NBA;2019 - 2020;JaVale McGee;LAL;68;1130.1;3;6;53;82;55;390;37;36;94;446
NBA;2019 - 2020;Luke Kennard;DET;28;921.9;73;183;67;75;43;98;115;12;6;442
NBA;2019 - 2020;Alex Len;SAC;55;970.6;16;59;68;105;55;321;50;23;48;438
NBA;2019 - 2020;Mason Plumlee;DEN;61;1057.2;0;5;83;155;82;317;154;33;38;437
NBA;2019 - 2020;JaMychal Green;LAC;63;1307.0;92;238;36;48;54;388;49;29;24;430
NBA;2019 - 2020;Trevor Ariza;POR;53;1492.3;77;207;62;74;56;246;91;69;15;423
NBA;2019 - 2020;Avery Bradley;LAL;49;1186.5;63;173;20;24;47;115;63;43;5;423
NBA;2019 - 2020;Kevin Knox;NYK;65;1166.1;65;199;66;101;45;184;61;23;28;419
NBA;2019 - 2020;Rondae Hollis-Jefferson;TOR;60;1121.9;3;23;105;143;59;283;106;46;23;418
NBA;2019 - 2020;Ersan Ilyasova;MIL;63;986.4;50;137;72;87;34;302;49;24;17;414
NBA;2019 - 2020;Chris Boucher;TOR;62;818.6;38;118;91;116;28;277;26;22;61;411
NBA;2019 - 2020;Mike Scott;PHI;68;1207.0;80;217;30;37;26;248;56;21;5;408
NBA;2019 - 2020;Patrick Beverley;LAC;51;1341.8;80;206;31;47;66;266;183;54;25;405
NBA;2019 - 2020;Trey Lyles;SAS;63;1270.8;65;168;33;45;39;361;69;28;28;404
NBA;2019 - 2020;Nicolo Melli;NOP;60;1042.1;69;206;54;73;46;180;82;34;23;395
NBA;2019 - 2020;Emmanuel Mudiay;UTA;54;849.6;30;87;63;83;76;126;116;24;10;395
NBA;2019 - 2020;Bismack Biyombo;CHA;53;1029.1;0;0;91;151;48;308;50;10;49;393
NBA;2019 - 2020;Georges Niang;UTA;66;923.2;90;225;20;24;30;127;44;18;5;392
NBA;2019 - 2020;Willie Cauley-Stein;DAL;54;1097.5;0;1;40;66;40;315;70;50;60;390
NBA;2019 - 2020;Kyle Anderson;MEM;67;1329.9;24;85;52;78;66;285;162;54;37;390
NBA;2019 - 2020;Lonnie Walker;SAS;61;988.2;41;101;44;61;44;139;68;32;14;389
NBA;2019 - 2020;Kyle Korver;MIL;58;959.8;99;237;35;41;48;122;68;26;12;386
NBA;2019 - 2020;Taj Gibson;NYK;62;1025.1;4;14;41;56;47;267;52;27;30;379
NBA;2019 - 2020;Dwight Powell;DAL;40;1060.6;10;39;74;111;36;227;59;35;21;376
NBA;2019 - 2020;Kris Dunn;CHI;51;1268.6;29;112;40;54;68;186;173;101;17;373
NBA;2019 - 2020;Jakob Poeltl;SAS;66;1171.0;0;0;40;86;54;375;116;37;95;372
NBA;2019 - 2020;Frank Jackson;NOP;59;797.1;47;144;56;75;49;83;61;17;4;371
NBA;2019 - 2020;Omari Spellman;GSW;49;886.0;43;110;73;92;54;219;47;33;24;370
NBA;2019 - 2020;Marco Belinelli;SAS;57;883.4;67;178;48;58;19;99;69;12;1;361
NBA;2019 - 2020;Pat Connaughton;MIL;67;1243.0;55;166;31;40;52;284;107;25;31;360
NBA;2019 - 2020;Justin Jackson;DAL;65;1044.6;48;163;42;50;14;154;52;15;10;360
NBA;2019 - 2020;Maurice Harkless;NYK;62;1426.8;34;98;39;66;53;240;68;58;33;357
NBA;2019 - 2020;Frank Ntilikina;NYK;57;1186.6;44;137;51;59;71;121;172;54;16;357
